academy,branch,selection_type,subject_combo,subject_count,max_grade_sum
시대인재,대치,우선선발,국수영탐(1),4,5
시대인재,대치,선착선발,국수영,3,5
시대인재,대치,선착선발,국수탐(1),3,5

시대인재,목동,우선선발,국수영탐(1),4,6
시대인재,목동,선착선발,국수영,3,6
시대인재,목동,선착선발,국수탐(1),3,6

시대인재,기숙,우선선발,국수영탐(1),4,6
시대인재,기숙,선착선발,국수영,3,6
시대인재,기숙,선착선발,국수탐(1),3,6

대성학원,본원(노량진),메디컬,국수영,3,7
대성학원,본원(노량진),메디컬,수,1,1
대성학원,본원(노량진),우선선발,국수영탐1탐2,3,10

강남대성,대치,우선선발,국수영,3,5
강남대성,대치,우선선발,수탐1탐2,3,5
강남대성,대치,선착선발,국수영탐1탐2,3,7

강남대성S2,대치,우선선발,국수영탐(1),3,5
강남대성S2,대치,선착선발,국수영탐(1),3,7

강남대성기숙,의대관,메디컬,국수영탐(1),3,4
강남대성기숙,의대관,우선선발,국수영탐1탐2,3,6
강남대성기숙,의대관,선착선발,국수영탐1탐2,3,8

강남대성WEUP,WEUP,메디컬,국수영,3,7
강남대성WEUP,WEUP,메디컬,국수탐(1),3,7
강남대성WEUP,WEUP,우선선발,국수영탐1탐2,3,10
강남대성WEUP,WEUP,선착선발,국수영탐1탐2,2,8

