학교,교과 50%,교과 70%,학종 50%,학종 70%,비고
서울대학교,1.16,1.39,1.09,1.11,지균/일반 혼합
연세대학교,1.16,1.18,1.63,1.44,추천형/활동우수형
고려대학교,1.25,1.26,2.78,3.29,학교추천/학업우수
서강대학교,1.43,1.44,1.84,3.53,지역균형/일반
성균관대학교,1.51,1.55,3.81,3.34,학과/계열모집
한양대학교,1.28,1.34,2.35,2.79,지역균형/일반
중앙대학교,1.57,1.6,1.75,1.94,지역균형/융합형
경희대학교,2.22,1.92,1.56,1.72,지역균형/네오르네상스
한국외국어대학교,1.62,1.68,2.41,2.98,학교장추천/서류형
서울시립대학교,1.6,1.6,1.91,2.32,지역균형/학종
건국대학교,1.77,1.77,2.04,2.25,KU지역균형/자기추천
동국대학교,1.71,1.83,2.11,2.45,학교추천/DoDream
홍익대학교,1.84,1.92,2.33,2.67,학교장추천/학교생활우수
국민대학교,2.2,2.33,2.52,2.66,교과성적우수/프런티어
숭실대학교,1.88,1.99,2.21,2.35,지역균형/미래인재
세종대학교,2.01,2.2,2.45,2.89,지역균형/창의인재
단국대학교,3.04,3.3,2.38,2.38,지역균형/DKU인재
광운대학교,2.15,2.4,2.33,2.53,지역균형/참빛인재
명지대학교,2.19,2.41,2.88,3.31,학교장추천/명지인재
