university,major,korean50,math50,english50,science50,korean70,math70,english70,science70
서울대학교,컴퓨터공학부,98(임의),98(임의),98(임의),98(임의),96(임의),96(임의),96(임의),96(임의)
연세대학교,컴퓨터과학과,96(임의),96(임의),96(임의),96(임의),94(임의),94(임의),94(임의),94(임의)
고려대학교,컴퓨터학과,95(임의),95(임의),95(임의),95(임의),93(임의),93(임의),93(임의),93(임의)
서강대학교,컴퓨터공학과,97,97,97,97,92,92,92,92
성균관대학교,소프트웨어학과,94(임의),94(임의),94(임의),94(임의),92(임의),92(임의),92(임의),92(임의)
한양대학교,컴퓨터소프트웨어학부,93(임의),93(임의),93(임의),93(임의),91(임의),91(임의),91(임의),91(임의)
중앙대학교,소프트웨어학부,92(임의),92(임의),92(임의),92(임의),90(임의),90(임의),90(임의),90(임의)
경희대학교,컴퓨터공학과,91(임의),91(임의),91(임의),91(임의),89(임의),89(임의),89(임의),89(임의)
외국어대학교,컴퓨터공학부,90(임의),90(임의),90(임의),90(임의),88(임의),88(임의),88(임의),88(임의)
시립대학교,컴퓨터과학부,89(임의),89(임의),89(임의),89(임의),87(임의),87(임의),87(임의),87(임의)
건국대학교,컴퓨터공학부,91,91,91,91,97,97,97,97
동국대학교,컴퓨터공학과,88(임의),88(임의),88(임의),88(임의),86(임의),86(임의),86(임의),86(임의)
홍익대학교,컴퓨터정보통신공학부,87(임의),87(임의),87(임의),87(임의),85(임의),85(임의),85(임의),85(임의)
국민대학교,소프트웨어학부,86(임의),86(임의),86(임의),86(임의),84(임의),84(임의),84(임의),84(임의)
숭실대학교,컴퓨터학부,85(임의),85(임의),85(임의),85(임의),83(임의),83(임의),83(임의),83(임의)
세종대학교,컴퓨터공학부,84(임의),84(임의),84(임의),84(임의),82(임의),82(임의),82(임의),82(임의)
단국대학교,컴퓨터공학과,83(임의),83(임의),83(임의),83(임의),81(임의),81(임의),81(임의),81(임의)
광운대학교,컴퓨터정보공학부,82(임의),82(임의),82(임의),82(임의),80(임의),80(임의),80(임의),80(임의)
명지대학교,정보컴퓨터공학과,81(임의),81(임의),81(임의),81(임의),79(임의),79(임의),79(임의),79(임의)
상명대학교,컴퓨터과학과,80(임의),80(임의),80(임의),80(임의),78(임의),78(임의),78(임의),78(임의)
가톨릭대학교,컴퓨터정보공학부,79(임의),79(임의),79(임의),79(임의),77(임의),77(임의),77(임의),77(임의)
