id,student_id,grade,content
1,1,1,"다정하고 사교적인 성격으로 타인을 배려할 줄 아는 착한 성품을 가지고 있음. 친구들뿐아니라 교사에게도 항상 예의를 갖출 줄 알며 도움이 필요한 친구에게 주저없이 손을 내미는 이타심이 강한 학생임. 용의복장이 단정하고 바른 언행을 유지하며 학교와 학급 규칙에 협조적임. 교내에서 열리는 특강이나 학교 행사에 참여하여 적극적이고 자신감 있는 학교생활을 함. 학업면에서도 최선을 다하는 모습을 보여주었음. 학업에 대한 의지를 보이는 학생으로 점심시간이나 방과 후 등 자투리 시간을 활용하여 부족한 공부시간을 보충함. 학급 내에서 국어, 물리, 수학 스터디그룹의 구성원으로 자발적으로 모여 함께 학습함. 암기 위주가 아닌 사건이 일어나게 심화된 내용을 학습하고 문제를 풀어 보며 성실하게 공부함. 축구와 배드민턴 스터디에도 참여하며 건강한 체력 증진과 생활 방식을 위해 노력함."
2,1,2,"매사에 여유롭고 긍정적인 면이 돋보이는 학생으로 교우 관계에서 인기가 많음, 주변 친구들을 배려하여 학급 분위기를 부드럽게 만드는 역할을 하였으며 학교생활에서 필요한 사항들을 평소에 틈틈이 배우는 모습을 보임. 이러한 관계를 통해 과목별로 자신의 호기심을 해결하는 등 학교생활을 충실하게 보임. 성적과 관련된 교사의 조언을 진지하게 듣고 긍정적인 수업태도 변화와 실질적인 성적향상을 보여주는 등 실천 의지가 돋보임. 학업 성취를 달성하기 위해 꾸준히 노력하고 있으며 끊임없는 자기 반성과 성찰을 통해 공부해야 할 목표와 의지를 가지고 성실히 자기만의 공부 시간을 충분히 갖는 등 모범적으로 스스로 학습하려는 태도를 가지고 있음. 스스로 학습하는 태도를 가지고 졸업 후의 진로에 대해 뚜렷한 계획을 세우고 이를 실천하기 위해 노력을 기울인다면 충분히 가능성이 있는 발전이 기대되는 학생임."
3,1,3,"수험생활 동안 결석이나 지각 없이 성실하게 학교생활을 영위했으며, 자신의 목표를 위해 꾸준히 노력하는 모습이 돋보임. 특히, 야구를 매우 좋아하여 친구들과 즐겁게 캐치볼을 하며 스포츠맨십을 키우고 체력을 유지함. 아주 작은 도움이라도 받으면 감사의 마음을 표현하는 모습에서 따뜻한 마음씨를 느낄 수 있으며, 모든 사람들에게 기분 좋은 인사를 건네고 질문에 대한 대답도 정확하게 하는 등 기본적인 예의가 몸에 잘 배어 있는 학생임. 자신을 객관적으로 평가하고 이를 바탕으로 발전하고자 하는 자세가 매우 대견하며, 함께 공부하는 친구들을 배려하는 모습에서 학업과 사회성 모두 균형잡힌 면모를 확인함. 부족한 부분을 보완하기 위해 적극적으로 노력하는 태도와, 수험생활 중에도 긍정적인 마인드로 주변 사람들에게 에너지를 전하는 모습을 통해 자신의 성장을 추구하면서도 주변과의 관계를 소중히 여기는 학생의 성향을 확인할 수 있음."
4,2,1,"밝고 명랑하며 배려심이 깊은 학생임. 학교 행사에 관심을 갖고 적극적으로 참여하였으며, 학업에 열의를 보임. 아침자기주도학습을 신청하여 영어 단어를 암기하고 그날 배울 교과 내용을 예습함, 야간자기주도학습을 신청하여 수행평가와 지필평가를 성실히 준비함. 자신의 노력만큼 결과가 나오지 않아 속상해하기도 하였으나 좌절하지 않고 발전하기 위해 노력하는 모습을 보임. 2학기에 만들어진 학급 내 온라인 독서 모임 '사품'에 가입하여 주 2~3회(총 16회) 읽은 책에서 인상 깊은 부분을 게시함. 주로 동물 관련 도서를 읽고, 새롭게 알게 된 정보를 실행해 본 경험을 나눔. 학급 사물함에 누군가 몰래 버려두어 썩은 음식물이 발견돼 모두 어찌할 바를 모르고 있을 때 나서서 치웠으며, 칠판 청소 담당이 아님에도 불구하고 종종 칠판을 닦고 칠판지우개를 털어둠. 또한 수능 시험장 설치 때 자발적으로 남아 청소하고 시험장을 꾸미는데 도움을 줌. 학급 앨범 제작 위원으로 급우들의 사진을 모으고, 학급 구성원들의 사진이 골고루 실릴 수 있도록 구성함."
5,2,2,"마음이 따뜻하고 정이 많아 주변 친구들을 잘 챙기고, 배려심과 의리가 있으며, 잘 웃고 시원시원한 성격으로 학급에서 인기가 많음. 칭찬 페이퍼 쓰기 학급활동을 통해 항상 명랑 쾌활하고 친구들의 언행에 긍정적으로 반응을 해준다는 칭찬을 많이 받음. 늘 예의바르고 힘든 일에 대해서도 티내지않고 씩씩하게 이겨내는 모습이 매우 기특함. 학급에서 맡은 자신의 역할인 게시판 관리와 칠판 정리가 사소한 것이라 생각하지 않고 책임감있고 즐겁게 임하고 자신의 할 일을 다른 사람에게 미루는 법이 없음. 학급 청소나 시험장 설치 등 도움이 필요할 때마다 흔쾌히 자원하여 따뜻하고 협조적인 분위기를 형성함. 운동 능력이 뛰어나고 친구들과 함께 하는 활동을 좋아하여 반별 토너먼트 경기에 배드민턴 선수로 출전해 학급의 우승을 이끌고 협력의 가치를 경험함. 수업시간에 적극적으로 참여하며 조별 과제 등에서도 책임감있게 임무를 수행하고 특히 화학 발명품 제작 활동에서 주도적으로 의견을 제시하고 모둠활동을 이끌어가는 등 높은 학습 의욕을 보임. 자신의 적성에 맞는 진로를 꾸준히 탐색하고 있으며 자신의 가능성을 잘 알고 현명하게 행동하는 학생이므로 앞으로 더욱 성장할 것이라는 기대가 큼."
6,2,3,온순한 성향으로 친화력이 좋아 다양한 친구들과 원만한 관계를 유지함. 자신의 주관과 목표 의식이 분명하고 진로와 학업에 대한 관심이 커서 지속해서 노력하고 있고 학업 능력 또한 꾸준히 발전하고 있음. 자신이 하고 싶은 것에 대한 뚜렷한 가치관을 가지고 있어서 진로와 학습에 대한 적극적인 성취 동기를 바탕으로 스스로 해야할 것을 찾아 익히는 능력이 있음. 다른 사람들 앞에 나서서 이야기를 주도하거나 활발하게 활동하는 편은 아니지만 다른 사람들의 이야기를 잘 들어주고 말보다 생각을 깊이 하는 신중한 학생임. 차분하고 성실한 모습이 일 년 동안 한결 같았으며 작은 일이라도 자신의 일이라고 생각하면 성실하고 책임감 있게 수행함. 자신이 원하는 것이 있다면 행동으로 옮기는 적극적인 태도를 갖추고 있어 진로에 대한 의지와 열정을 바탕으로 실천하깅 구해 계획하고 끊이없니 노력하는 모습을 보임.
7,3,1,"친구들에게 친절하게 대하고 학습 면에서 여러 도움을 주어 친구들과의 관계가 좋으며 학급 구성원끼리의 배려를 중 요하게 생각함. 가장 먼저 교실에 입실하는 학생으로 등교 시각이 늦어지는 시험 기간에도 정해진 시각보다 훨씬 일 찍 등교하여 차분히 그날의 일과를 준비하고 자기주도학습에 매진하는 남다른 성실성을 보임. 학년말 우리 반 설문 에서 학급의 면학 분위기 조성에 이바지한 학생을 뽑는 질문에서 많은 학생들의 추천을 받아 그 노력을 인정받음. 학 급의 1인 1역으로 비품 관리 팀장을 맡아 책임감 있게 활동하며 학생들의 원활한 학교생활을 적극적으로 도움. 말, 글에서 논리적이고 합리적인 사고가 느껴지고 지적 탐구심이 강하여 잘 이해가 가지 않는 부분은 질문과 토론을 통 해 결국 자기 것으로 만들고야 마는 성향을 지님. 학습 활동 면에서 집념을 가지고 깊이 있게 탐구하여 모든 교과 성 적이 매우 우수함. 다면적 진로탐색검사 결과 현상을 탐구하는 것을 좋아하며 논리적이고 호기심이 많은 것으로 나 타나 희망 진로인 화장품 연구원이 자신의 특성과 잘 맞는 분야라고 생각되고, 학습 면에서도 구체적 계획을 꼼꼼하 게 세워 체계적으로 노력하고 있어 해당 분야에서 훌륭한 인재가 될 것이라 믿음."
8,3,2,"매사에 열정적이고, 세심하게 자신이 해야 할 일을 파악하며, 계획을 하면 반드시 실행에 옮기는 학생으로, 누구에 게나 칭찬을 듣는 학생임. 자신의 학업에 열중하여 학업성취도를 늘 최상으로 유지함은 물론이거니와 학교나 학급의 다양한 활동에도 적극적으로 참여하는 열정이 대단한 학생임. 학업을 대하는 자세에 있어서는 세심함과 꼼꼼함으로 무장하여 전 교과의 모든 내용을 숙지하며, 자신이 잘 알고 있는 부분과 더 알아야 할 부분을 정확히 알고, 더욱더 완벽한 학업 성취를 얻고자 매사에 노력하는 모습이 타의 모범이 됨. 자신의 관심 분야를 명확하게 알고, 진로를 명 확하게 설정하고 또 자신의 꿈을 향해 전진하기 위한 과정을 중시 여기며, 진지하고도 깊은 성찰을 끊임없이 하며 사 색하는 모습이 사뭇 10대라고는 믿기지 않을 정도 진지한 태도임. 봉사 정신이 뛰어나 학급 부회장으로 지내면서 친 구들이 필요한 물품을 가져와 공용 물품으로 준비해오기도 하였으며, 간식을 준비하여 친구들에게 학교생활의 활력 을 넣어주기도 하는 등 자신의 것을 나누어주고자 하는 마음씨를 지님. 지금과 같은 자세로 삶에 계속 임한다면 꿈을 이루고, 최고의 인재가 되어 이 사회를 이끌 훌륭한 리더가 될 것임을 확신함."
9,3,3,"또래답지 않은 성숙함과 차분함을 가진 학생으로 항시 단정하고 예의 바른 생활 태도와 바른 언행을 유지하여 타의 모범이 되며, 매사에 자신의 생각을 논리적이고 조리 있게 피력하는 모습이 돋보임. 1학기 학급 부회장의 역할을 특 유의 성실함과 책임감을 가지고 훌륭하게 수행하였으며 언제나 학급의 중심을 잘 잡아주어 담임으로서 큰 의지가 되 는 학생임. 학급 친구들이 필요해보이는 물품이나 작은 간식 등을 몰래 준비해 비치하는 등 입시 준비로 힘들어하는 친구들을 세심하게 배려하고자 하는 마음가짐이 돋보임. 수업태도가 누구보다 진지하며, 열심히 공부하려는 적극적 인 자세가 갖추어져 있어 교과 선생님들의 칭찬을 많이 받음. 교내의 다양한 행사에 꾸준히 참여하여 스스로에게 도 전과 성장의 기회를 만들어가며, 본인에게 가장 적합한 진로를 찾아 3년간 묵묵히 나아갈 길을 준비하는 등 또래에게서 찾아보기 힘든 우직함이 있음. 삶에 대한 주체적이고 적극적인 태도를 바탕으로 매순간 최선을 다하는 열정적 인 학생으로 향후 많은 발전과 성장이 기대됨."
10,4,1,침착하고 분석적이며 굉장히 논리적인 생각과 다양한 사고 전환이 굉장히 좋은 학생임. 친구들과 교우관계도 좋고 친구들과도 보이지 않는 배려심도 굉장히 좋음.
